name	Einwohner	Einkommen pro Kopf 2019[7]
Passau	193454	23354
Köln, Stadt	1083498	23339
Haßberge	84275	23333
Braunschweig, Stadt	248561	23306
Ammerland	125643	23286
Pforzheim, Stadt	126016	23263
Hof	94522	23234
Kempten (Allgäu), Stadt	68940	23231
Karlsruhe, Stadt	308436	23189
Mayen-Koblenz	214786	23144
Wesel	460113	23141
Höxter	139729	23136
Neustadt an der Waldnaab	94645	23136
Bernkastel-Wittlich	112685	23121
Groß-Gerau	275807	23115
Schwandorf	148477	23091
Suhl, Stadt	36395	23048
Northeim	131772	23004
St. Wendel	86458	22957
Bamberg, Stadt	76674	22943
Eifelkreis Bitburg-Prüm	100055	22916
Weiden in der Oberpfalz, Stadt	42535	22909
Odenwaldkreis	96754	22901
Schwalm-Eder-Kreis	179840	22900
Peine	135844	22885
Mainz, Stadt	217123	22874
Hameln-Pyrmont	148580	22864
Schaumburg	158406	22846
Wesermarsch	88524	22842
Steinburg	130706	22837
Rhein-Lahn-Kreis	122574	22834
Freiburg im Breisgau, Stadt	230940	22809
Bad Kreuznach	158746	22783
Euskirchen	194359	22750
Hersfeld-Rotenburg	120304	22748
Emsland	328930	22747
Altenkirchen (Westerwald)	129087	22724
Vulkaneifel	60491	22697
Leverkusen, Stadt	163905	22683
Vogelsbergkreis	105506	22673
Bielefeld, Stadt	333509	22658
Paderborn	308335	22651
Freyung-Grafenau	78355	22650
Bremen, Stadt	566573	22604
Regen	77313	22603
Leipzig	258386	22603
Ansbach, Stadt	41681	22522
Mannheim, Stadt	309721	22500
Donnersbergkreis	75539	22493
Hannover, Region	1155330	22453
Potsdam, Stadt	182112	22430
Landau in der Pfalz, Stadt	46685	22413
Birkenfeld	80830	22382
Wittmund	57384	22353
Dahme-Spreewald	173316	22345
Oberhavel	214234	22339
Krefeld, Stadt	226844	22327
Frankenthal (Pfalz), Stadt	48750	22324
Hildesheim	275464	22296
Cloppenburg	172632	22284
Unna	393618	22267
Lüneburg	184235	22234
Nienburg/Weser	121645	22214
Meißen	240371	22207
Kaiserslautern	106320	22179
Friesland	98971	22161
Marburg-Biedenkopf	245903	22152
Passau, Stadt	52415	22145
Uelzen	92566	22099
Koblenz, Stadt	113388	22095
Heidekreis	140885	22039
Saarlouis	193732	22027
Holzminden	70207	22023
Düren	265140	22005
Osnabrück, Stadt	164223	21991
Goslar	134688	21944
Wuppertal, Stadt	355004	21858
Schweinfurt, Stadt	53319	21838
Gießen	271667	21836
Börde	170567	21830
Zwickau	312033	21822
Bayreuth, Stadt	74048	21821
Göttingen	323900	21812
Trier, Stadt	110674	21794
Sonneberg	57044	21785
Märkisch-Oderland	197195	21753
Sächsische Schweiz-Osterzgebirge	244722	21753
Ludwigslust-Parchim	211844	21730
Mönchengladbach, Stadt	259665	21721
Lüchow-Dannenberg	48503	21720
Kusel	70105	21716
Barnim	187343	21714
Schmalkalden-Meiningen	124241	21705
Oder-Spree	179276	21690
Havelland	164693	21678
Saalekreis	183434	21677
Celle	179386	21669
Aurich	190178	21617
Rostock	217072	21597
Kleve	313586	21583
Jerichower Land	89403	21568
Bautzen	298010	21558
Spree-Neiße	113011	21472
Grafschaft Bentheim	137891	21457
Mittelsachsen	301474	21428
Hildburghausen	62656	21424
Teltow-Fläming	171554	21399
Heinsberg	256458	21388
Nordsachsen	197444	21383
Greiz	96668	21373
Werra-Meißner-Kreis	100046	21365
Erzgebirgskreis	331917	21359
Worms, Stadt	83459	21336
Berlin, Stadt	3664088	21327
Wittenberg	124185	21309
Vogtlandkreis	223905	21275
Zweibrücken, Stadt	34001	21273
Neunkirchen	131172	21216
Recklinghausen	613599	21204
Essen, Stadt	582415	21168
Altmarkkreis Salzwedel	82687	21136
Aachen, Städteregion	556631	21134
Augsburg, Stadt	295830	21123
Saale-Holzland-Kreis	82816	21083
Bottrop, Stadt	117388	21057
Hof, Stadt	45173	21052
Nordwestmecklenburg	157975	21035
Lübeck, Stadt	215846	21028
Eichsfeld	99463	20992
Wartburgkreis	159937	20978
Chemnitz, Stadt	244401	20954
Harz	210975	20889
Saalfeld-Rudolstadt	102139	20878
Oldenburg, Stadt	169605	20874
Dessau-Roßlau, Stadt	79354	20851
Dresden, Stadt	556227	20800
Oberspreewald-Lausitz	108396	20790
Saale-Orla-Kreis	79632	20789
Bochum, Stadt	364454	20743
Anhalt-Bitterfeld	157217	20729
Weimarer Land	82291	20722
Altenburger Land	88356	20707
Vorpommern-Rügen	225383	20696
Burgenlandkreis	177590	20604
Mecklenburgische Seenplatte	258057	20554
Schwerin, Stadt	95609	20537
Leer	171483	20504
Prignitz	76096	20497
Salzgitter, Stadt	103866	20436
Saarbrücken, Regionalverband	327502	20436
Hagen, Stadt	188687	20432
Gera, Stadt	92126	20411
Sömmerda	69107	20384
Gotha	134563	20366
Ostprignitz-Ruppin	98808	20352
Pirmasens, Stadt	40176	20337
Kassel, Stadt	201048	20255
Elbe-Elster	101085	20214
Görlitz	250558	20200
Cottbus, Stadt	98693	20157
Salzlandkreis	187457	20133
Ilm-Kreis	105606	20112
Ludwigshafen am Rhein, Stadt	172557	20074
Erfurt, Stadt	213692	20047
Mansfeld-Südharz	133690	20041
Merzig-Wadern	103471	19988
Stendal	110485	19988
Delmenhorst, Stadt	77503	19980
Jena, Stadt	110731	19918
Unstrut-Hainich-Kreis	101698	19916
Kiel, Stadt	246601	19886
Dortmund, Stadt	587696	19855
Nordhausen	82456	19811
Neumünster, Stadt	79905	19773
Rostock, Stadt	209061	19759
Weimar, Stadt	65098	19745
Emden, Stadt	49874	19693
Magdeburg, Stadt	235775	19692
Kaiserslautern, Stadt	99662	19639
Uckermark	118250	19621
Vorpommern-Greifswald	235773	19601
Leipzig, Stadt	597493	19574
Kyffhäuserkreis	73522	19543
Brandenburg an der Havel, Stadt	72040	19504
Hamm, Stadt	178967	19469
Offenbach am Main, Stadt	130892	19445
Oberhausen, Stadt	209566	19364
Flensburg, Stadt	89934	19134
Frankfurt (Oder), Stadt	57015	19118
Wilhelmshaven, Stadt	75189	19050
Herne, Stadt	156940	18907
Bremerhaven, Stadt	113557	18590
Halle (Saale), Stadt	237865	18527
Duisburg, Stadt	495885	17741
Gelsenkirchen, Stadt	259105	17015
